vd_id,vd_title,create_time,author_uid,author_nickname,enterprise_verify,likes,shares,collects,img_url
7314893435696172351,#网红小火车 #小火车 #卡通动画 #启蒙早教 #益智动画 #亲子游玩好去处 #游乐场儿童乐园,2023-12-21 12:03:32,1997178360834128,旺仔🍬糖糖,,20454,1112,5774,https://p3-pc-sign.douyinpic.com/tos-cn-i-0813c001/oMGDyyuFhJFdAfICsACEAgAuWJAwCUzKAIRNeP~noop.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=7AcEEMYCrcOdhoAwsi4XMck84UQ%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&biz_tag=pcweb_cover&l=2025041312012257CCD51C1784303BDC4A
7416540480869059881,#奥特曼儿童动画片 #儿童乐园游乐场 #儿童视频 #儿童益智 #主题乐园,2024-09-20 10:05:08,2452359575512874,小小悟空,,1351,31,577,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oQUNIHEBIPCsAiuQCI2PzAbAZQPryFYlGiTCW~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=RoqweaGjip2Q3%2Fw7V8C0TUOGzBg%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120137DA940D9A53D47D3D1345
7434714392932912438,#亲子互动 #启蒙早教 #3到6岁儿童益智早教动画 #益智动画 #儿童动画,2024-11-08 09:29:36,2443528886041657,咿咿呀呀,,1772,23,794,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/o8AJ1XargiIYY49txZB1IQvotP2yC1vqAiVId~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=xNIgI9T5OwXoY8bY7NB0SAh9oPA%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120148185753BB5AF8D33D1ED5
7458471598333414665,儿童视频：小妹水上乐园受欺，二哥能否速来护航？ #儿童视频  #搞笑  #3到6岁儿童益智早教动画  #亲子  #原创动画,2025-01-11 10:01:19,95710867565,星星动画,,1275,18,610,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oYngO0K0Ild1BzhAIQ0BkAAMB9FPQDff4g3DBE~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=2FN5AuOMSQieSkBt0ETiStYCTJI%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120235422BFD4F2614923D4DE5
7491595535569161481,小奥特曼们睡觉补充电量 #动画短片 #儿童动画 #奥特曼,2025-04-11 11:20:00,104796029083,禾禾益智启蒙乐园🌱,,1,0,0,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oc9PUF0u0AbnH7VBAgLI7fEGPeTzBsvIBBCfug~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=tsqCLgWePWCBtOcufRxFMROmPDU%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131202461DF735DA7BCFF93B994B
7453049084421721396,#0-3岁幼儿早教益智动画大全 #儿童玩具乐园,2024-12-27 19:18:09,7436726141362242617,用户838915344768,,6590,32,2607,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/oIonBuMeExPFMhjAlg9Qbc5O9yUCDAGqAfNQ2C~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=iLuZluDDyfiu2UyJ%2B9jV1U2eB%2FQ%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=2025041312025986A43F1DF2894C3BEFFF
7473781890244250940,#游乐园 #儿童乐园 #儿童动画#3到6岁儿童益智早教动画,2025-02-21 16:10:58,860256554977929,可爱多世界,,1943,12,778,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015c000-ce/oExCNDUaDIaRn4jSAiFBeh9XCCfgnTEIEdwfAu~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=oahmDajLEL2xuKece%2B5sgzZWAMA%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120311011B81D8781E063D1685
7483692143979138338,儿童视频：哥哥游乐园霸道，妹妹是反击还是另有选择？ #3到6岁儿童益智早教动画  #儿童视频  #亲子互动  #儿童早教益智小游戏  #欢乐时刻,2025-03-20 09:10:45,99501819696,考拉看动画,,374,6,162,https://p9-pc-sign.douyinpic.com/tos-cn-p-0015/oQenhRpyxAxzB9KxgIFW2aND8fKsvx2EAABvbI~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=g3AK9NP1IFDSMU9RtKdGizr1QX0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120323DDA5EE1555D98B3F2369
7491239227900824866,@奥特曼乐园001 #奥特曼儿童动画片 #儿童动画 #亲子互动 #奥特曼 #奥特曼动画片儿童3-6岁,2025-04-09 17:14:33,2927314106584544,奥特曼乐园001,,488,2,325,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocyOnA8pn3Alall2B8iig0BxAeA9R6cII2fKDx~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=P49j1Cou5dGAYCQs5vcOSUwBO2I%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=20250413120335592FC43212D38D3DD592
7490752661512277274,"第一视角：小丑居然沦落到捡瓶子为生，蜘蛛侠会帮助他妈？ #第一视角 #儿童 #搞笑 
亲子#亲子 #蜘蛛侠",2025-04-10 11:50:00,2474361311993696,儿童搞笑视频,,540,7,227,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/owQe0fvPFTfHAAZDf3QAvLIIegGbFoESpeIPGQ~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=3AkychST9O1rMNV6Ss2%2FT5hs7yE%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131203464C4D1D99A96C483DEF9E
7484735724932058377,3到6岁儿童益智早教动画#孩子的世界很简单 #3到6岁儿童益智早教动画 #0到3岁早教启蒙动画片推荐 #3到6岁启蒙益智二次元亲子视频 #0到3岁幼儿早教益智动画大全,2025-03-23 04:51:20,7428119167523800124,九点半度,,4017,18,1584,https://p3-pc-sign.douyinpic.com/tos-cn-p-0015/ocAJeWVlTvYZMR5P788CkkBgAGQCBdfAmPfPBx~tplv-dy-360p.jpeg?lk3s=138a59ce&x-expires=1745726400&x-signature=qvdk%2FEOrCbAtxdF5%2Blx6SzQ4i%2Fk%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=origin_cover&biz_tag=pcweb_cover&l=202504131203583A74A0E9AF8EE23B04B9
